Theme,Count
Barber,1
Gabriel,1
Temptation,1
Orator,1
Sanitation worker,1
Karnak,1
Thebes,1
Daisy,1
Trader,1
Leptarrhena pyrolifolia,1
Spanish bayonet,1
Yucca baccata,1
Delphinium,1
Delphinium scopulorum,1
Gentiana holopetala,1
Clematis viorna,1
Shortia galacifolia,1
Tampa epidendrum,1
Wild sweet crab,1
Malus coronaria,1
Riverbank gentian,1
Erigeron aureus,1
Golden fleabane,1
Tsuga mertensiana,1
Mountain hemlock,1
Tufted saxifrage,1
Red-helmet,1
Brodiaea pulchella,1
Wild hyacinth,1
Alpine monkey flower,1
Mimulus caespitosus,1
Woolly fleabane,1
Erigeron lanatus,1
Phlox paniculata,1
Perennial phlox,1
